20
ID;Titulo;Autor;Paginas;Ejemplares;Generos
LIB0;Libro_0;Autor_0;141;3;gastronomia-humor-leyendas-moda-viajes
LIB1;Libro_1;Autor_1;564;1;ciencia-religion
LIB2;Libro_2;Autor_2;1061;2;arte-drama
LIB3;Libro_3;Autor_3;536;2;ciencia-gastronomia-infantil-moda-religion-viajes
LIB4;Libro_4;Autor_4;818;1;biografia-gastronomia-humor-poesia
LIB5;Libro_5;Autor_5;1012;3;arte-cine-ensayo-fotografia-poesia-viajes
LIB6;Libro_6;Autor_6;773;5;biografia-cine-thriller
LIB7;Libro_7;Autor_7;647;5;arte-biografia-ensayo-fantasia
LIB8;Libro_8;Autor_8;841;5;drama-fotografia-juegos-politica
LIB9;Libro_9;Autor_9;206;1;fantasia-gastronomia-politica-relatos
LIB10;Libro_10;Autor_10;990;5;gastronomia-relatos
LIB11;Libro_11;Autor_11;201;4;arte-cine-ensayo-investigacion-juegos
LIB12;Libro_12;Autor_12;940;2;arte-biografia-leyendas
LIB13;Libro_13;Autor_13;539;2;arte-drama-ensayo-fotografia-religion
LIB14;Libro_14;Autor_14;641;4;ciencia-moda
LIB15;Libro_15;Autor_15;804;1;humor-infantil-investigacion-viajes
LIB16;Libro_16;Autor_16;845;5;gastronomia-investigacion
LIB17;Libro_17;Autor_17;197;3;arte-infantil-poesia
LIB18;Libro_18;Autor_18;455;3;relatos-religion
LIB19;Libro_19;Autor_19;152;1;juegos-politica
